id,node_id,position
139698071,1531051080,0
139698071,1531051137,1
139698071,1531050997,2
139698071,1531051183,3
139698071,1531051080,4
142399964,1558360786,0
142399964,1558361148,1
142399964,1558360842,2
142399964,1558361009,3
142399964,1558360786,4
146060276,1593487448,0
146060276,1593487865,1
146060276,1593487358,2
146060276,1593487254,3
146060276,1593487448,4
147950001,1610678361,0
147950001,1610678364,1
147950001,1610678420,2
147950001,1610678414,3
147950001,1610678410,4
147950001,1610678412,5
147950001,1610678322,6
147950001,1610678447,7
147950001,1610678537,8
147950001,1610678494,9
147950001,1610678361,10
149299409,1623004090,0
149299409,1623004182,1
149299409,1623004132,2
149299409,1623004130,3
149299409,1623004090,4
152133102,1649664109,0
152133102,1649664119,1
152133102,1649664031,2
152133102,1649663697,3
152133102,1649664109,4
154853678,1673198652,0
154853678,1673198651,1
154853678,1673198649,2
154853678,1673198643,3
154853678,1673198646,4
154853678,1673198640,5
154853678,1673198637,6
154853678,1673198639,7
154853678,1673198623,8
154853678,1673198633,9
154853678,1673198618,10
154853678,1673198625,11
154853678,1673198626,12
154853678,1673198629,13
154853678,1673198624,14
154853678,1673198622,15
154853678,1673198613,16
154853678,1673198616,17
154853678,1673198612,18
154853678,1673198617,19
154853678,1673198615,20
154853678,1673198620,21
154853678,1673198619,22
154853678,1673198628,23
154853678,1673198638,24
154853678,1673198636,25
154853678,1673198642,26
154853678,1673198644,27
154853678,1673198647,28
154853678,1673198645,29
154853678,1673198648,30
154853678,1673198650,31
154853678,1673198652,32
158751060,1708953266,0
158751060,1708953234,1
158751060,1708953241,2
158751060,1708953290,3
158751060,1708953266,4
168473653,1797366996,0
168473653,1797367234,1
168473653,1797367024,2
168473653,1797367108,3
168473653,1797366996,4
174014096,1847618446,0
174014096,1847618562,1
174014096,1847618334,2
174014096,1847618407,3
174014096,1847618446,4
206151330,2161526854,0
206151330,2161526862,1
206151330,2161526818,2
206151330,2161526815,3
206151330,2161526854,4
229997286,2385310583,0
229997286,2385310580,1
229997286,2385310582,2
229997286,2385310586,3
229997286,2385310583,4
257101308,2627110596,0
257101308,2627110586,1
257101308,2627110604,2
257101308,1233450388,3
257101308,2627110610,4
257101308,2627110596,5
292157508,2956974473,0
292157508,2956974474,1
292157508,2956974475,2
292157508,2956974476,3
292157508,2956974473,4
328043812,3348683948,0
328043812,3348683947,1
328043812,3348683946,2
328043812,3348683943,3
328043812,713117597,4
328043812,713118027,5
328043812,713116455,6
339956314,3471558363,0
339956314,3471558364,1
339956314,3471558365,2
339956314,3471558366,3
339956314,3471558367,4
339956314,3471558368,5
339956314,3471558369,6
339956314,3471558370,7
339956314,3471558371,8
361676817,3661280131,0
361676817,3661280132,1
361676817,3661280133,2
361676817,3661280134,3
361676817,3661280131,4
365506298,3695094614,0
365506298,3695094615,1
365506298,3695094616,2
365506298,3695094617,3
365506298,3695094618,4
365506298,3695094619,5
365506298,3695094620,6
365506298,3695094621,7
365506298,3695094622,8
365506298,3695094623,9
365506298,3695094624,10
365506298,3695094625,11
365506298,3695094626,12
365506298,3695094627,13
365506298,3695094628,14
365506298,3695094629,15
365506298,3695094614,16
370545108,3742412378,0
370545108,3742412379,1
370545108,3742412380,2
370545108,3742412381,3
370545108,3742412378,4
383068749,3862690246,0
383068749,3862690247,1
383068749,3862690248,2
383068749,3862690249,3
383068749,3862690250,4
383068749,3862690251,5
383068749,3862690252,6
383068749,3862690253,7
383068749,3862690246,8
387152040,3904737471,0
387152040,3904737472,1
387152040,3904737473,2
387152040,3904737474,3
387152040,3904737471,4
390607468,3937722140,0
390607468,3937722141,1
390607468,3937722142,2
390607468,3937722143,3
390607468,3937722144,4
390607468,3937722145,5
390607468,3937722146,6
390607468,3937722147,7
390607468,3937722140,8
398368301,4011328981,0
398368301,4011328982,1
398368301,4011328983,2
398368301,4011328984,3
398368301,4011328981,4
411134489,4128696454,0
411134489,4128696455,1
411134489,4128696456,2
411134489,4128696457,3
411134489,4128696458,4
411134489,4128696459,5
411134489,4128696454,6
415293296,4163329677,0
415293296,4163329679,1
415293296,4163329686,2
415293296,4163329678,3
423417336,4230237820,0
423417336,4230237821,1
423417336,4230237822,2
423417336,4230237823,3
423417336,4230237824,4
423417336,4230237825,5
423417336,4230237820,6
431705514,4309353638,0
431705514,4309353639,1
431705514,4309353640,2
431705514,4309353641,3
431705514,4309353638,4
